Ticker,Name,Weight,Shares,Price,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
SJM UN Equity,J M Smucker Co/The,--,--,108.325,,,,,,,,,,,,,
SNA UN Equity,Snap-on Inc,--,--,316.03,,,,,,,,,,,,,
AME UN Equity,AMETEK Inc,--,--,181.09,,,,,,,,,,,,,
UBER UN Equity,Uber Technologies Inc,--,--,86.39,,,,,,,,,,,,,
SO UN Equity,Southern Co/The,--,--,95.34,,,,,,,,,,,,,
TFC UN Equity,Truist Financial Corp,--,--,42.88,,,,,,,,,,,,,
LUV UN Equity,Southwest Airlines Co,--,--,29.8,,,,,,,,,,,,,
WRB UN Equity,W R Berkley Corp,--,--,69.25,,,,,,,,,,,,,
SWK UN Equity,Stanley Black & Decker Inc,--,--,66.9,,,,,,,,,,,,,
PSA UN Equity,Public Storage,--,--,278.26,,,,,,,,,,,,,
ANET UN Equity,Arista Networks Inc,--,--,116.05,,,,,,,,,,,,,
SYY UN Equity,Sysco Corp,--,--,79.72,,,,,,,,,,,,,
CTVA UN Equity,Corteva Inc,--,--,70.83,,,,,,,,,,,,,
TXN UW Equity,Texas Instruments Inc,--,--,180.23,,,,,,,,,,,,,
TXT UN Equity,Textron Inc,--,--,77.07,,,,,,,,,,,,,
TMO UN Equity,Thermo Fisher Scientific Inc,--,--,461.31,,,,,,,,,,,,,
TJX UN Equity,TJX Cos Inc/The,--,--,125.67,,,,,,,,,,,,,
GL UN Equity,Globe Life Inc,--,--,137.5,,,,,,,,,,,,,
JCI UN Equity,Johnson Controls International plc,--,--,106.31,,,,,,,,,,,,,
ULTA UW Equity,Ulta Beauty Inc,--,--,507.49,,,,,,,,,,,,,
UNP UN Equity,Union Pacific Corp,--,--,219.44,,,,,,,,,,,,,
KEYS UN Equity,Keysight Technologies Inc,--,--,158.45,,,,,,,,,,,,,
UNH UN Equity,UnitedHealth Group Inc,--,--,237.86,,,,,,,,,,,,,
BX UN Equity,Blackstone Inc,--,--,169.72,,,,,,,,,,,,,
VTR UN Equity,Ventas Inc,--,--,67.39,,,,,,,,,,,,,
LH UN Equity,Labcorp Holdings Inc,--,--,260.86,,,,,,,,,,,,,
VMC UN Equity,Vulcan Materials Co,--,--,273.03,,,,,,,,,,,,,
WY UN Equity,Weyerhaeuser Co,--,--,25.07,,,,,,,,,,,,,
WMB UN Equity,Williams Cos Inc/The,--,--,60.515,,,,,,,,,,,,,
CEG UW Equity,Constellation Energy Corp,--,--,339.19,,,,,,,,,,,,,
WEC UN Equity,WEC Energy Group Inc,--,--,110.57,,,,,,,,,,,,,
ADBE UW Equity,Adobe Inc,--,--,350.01,,,,,,,,,,,,,
VST UN Equity,Vistra Corp,--,--,208.88,,,,,,,,,,,,,
AES UN Equity,AES Corp/The,--,--,13.15,,,,,,,,,,,,,
EXPD UN Equity,Expeditors International of Washington Inc,--,--,114.365,,,,,,,,,,,,,
AMGN UW Equity,Amgen Inc,--,--,296.75,,,,,,,,,,,,,
AAPL UW Equity,Apple Inc,--,--,202.39,,,,,,,,,,,,,
ADSK UW Equity,Autodesk Inc,--,--,295.96,,,,,,,,,,,,,
CTAS UW Equity,Cintas Corp,--,--,221.04,,,,,,,,,,,,,
CMCSA UW Equity,Comcast Corp,--,--,32.625,,,,,,,,,,,,,
TAP UN Equity,Molson Coors Beverage Co,--,--,48.39,,,,,,,,,,,,,
KLAC UW Equity,KLA Corp,--,--,883.11,,,,,,,,,,,,,
MAR UW Equity,Marriott International Inc/MD,--,--,255.94,,,,,,,,,,,,,
FI UN Equity,Fiserv Inc,--,--,135.55,,,,,,,,,,,,,
MKC UN Equity,McCormick & Co Inc/MD,--,--,70.29,,,,,,,,,,,,,
PCAR UW Equity,PACCAR Inc,--,--,96.54,,,,,,,,,,,,,
COST UW Equity,Costco Wholesale Corp,--,--,952.48,,,,,,,,,,,,,
SYK UN Equity,Stryker Corp,--,--,375.92,,,,,,,,,,,,,
TSN UN Equity,Tyson Foods Inc,--,--,52.16,,,,,,,,,,,,,
LW UN Equity,Lamb Weston Holdings Inc,--,--,56.14,,,,,,,,,,,,,
AMAT UW Equity,Applied Materials Inc,--,--,179.245,,,,,,,,,,,,,
CAH UN Equity,Cardinal Health Inc,--,--,156.27,,,,,,,,,,,,,
CINF UW Equity,Cincinnati Financial Corp,--,--,145.92,,,,,,,,,,,,,
PARA UW Equity,Paramount Global,--,--,13.045,,,,,,,,,,,,,
DHI UN Equity,DR Horton Inc,--,--,149.36,,,,,,,,,,,,,
EA UW Equity,Electronic Arts Inc,--,--,156.09,,,,,,,,,,,,,
ERIE UW Equity,Erie Indemnity Co,--,--,350.41,,,,,,,,,,,,,
FICO UN Equity,Fair Isaac Corp,--,--,1360.6,,,,,,,,,,,,,
FAST UW Equity,Fastenal Co,--,--,45.23,,,,,,,,,,,,,
MTB UN Equity,M&T Bank Corp,--,--,185.32,,,,,,,,,,,,,
XEL UW Equity,Xcel Energy Inc,--,--,73.61,,,,,,,,,,,,,
FITB UW Equity,Fifth Third Bancorp,--,--,41.055,,,,,,,,,,,,,
GILD UW Equity,Gilead Sciences Inc,--,--,113.15,,,,,,,,,,,,,
HAS UW Equity,Hasbro Inc,--,--,74.41,,,,,,,,,,,,,
HBAN UW Equity,Huntington Bancshares Inc/OH,--,--,16.055,,,,,,,,,,,,,
WELL UN Equity,Welltower Inc,--,--,166.32,,,,,,,,,,,,,
BIIB UW Equity,Biogen Inc,--,--,129.5,,,,,,,,,,,,,
NTRS UW Equity,Northern Trust Corp,--,--,126.99,,,,,,,,,,,,,
PKG UN Equity,Packaging Corp of America,--,--,191.13,,,,,,,,,,,,,
PAYX UW Equity,Paychex Inc,--,--,140.26,,,,,,,,,,,,,
QCOM UW Equity,QUALCOMM Inc,--,--,147.21,,,,,,,,,,,,,
ROST UW Equity,Ross Stores Inc,--,--,136.8,,,,,,,,,,,,,
IDXX UW Equity,IDEXX Laboratories Inc,--,--,534.11,,,,,,,,,,,,,
SBUX UW Equity,Starbucks Corp,--,--,85.78,,,,,,,,,,,,,
KEY UN Equity,KeyCorp,--,--,17.64,,,,,,,,,,,,,
FOXA UW Equity,Fox Corp,--,--,55.02,,,,,,,,,,,,,
FOX UW Equity,Fox Corp,--,--,50.36,,,,,,,,,,,,,
STT UN Equity,State Street Corp,--,--,108.46,,,,,,,,,,,,,
NCLH UN Equity,Norwegian Cruise Line Holdings Ltd,--,--,24.365,,,,,,,,,,,,,
USB UN Equity,US Bancorp,--,--,43.96,,,,,,,,,,,,,
AOS UN Equity,A O Smith Corp,--,--,70.21,,,,,,,,,,,,,
GEN UW Equity,Gen Digital Inc,--,--,28.97,,,,,,,,,,,,,
TROW UW Equity,T Rowe Price Group Inc,--,--,102.41,,,,,,,,,,,,,
WM UN Equity,Waste Management Inc,--,--,228.82,,,,,,,,,,,,,
STZ UN Equity,Constellation Brands Inc,--,--,166.27,,,,,,,,,,,,,
IVZ UN Equity,Invesco Ltd,--,--,20.59,,,,,,,,,,,,,
INTU UW Equity,Intuit Inc,--,--,774.41,,,,,,,,,,,,,
MS UN Equity,Morgan Stanley,--,--,138.285,,,,,,,,,,,,,
MCHP UW Equity,Microchip Technology Inc,--,--,65.71,,,,,,,,,,,,,
CRWD UW Equity,Crowdstrike Holdings Inc,--,--,446.98,,,,,,,,,,,,,
CB UN Equity,Chubb Ltd,--,--,267.67,,,,,,,,,,,,,
HOLX UW Equity,Hologic Inc,--,--,66.8,,,,,,,,,,,,,
CFG UN Equity,Citizens Financial Group Inc,--,--,46.75,,,,,,,,,,,,,
JBL UN Equity,Jabil Inc,--,--,219.23,,,,,,,,,,,,,
ORLY UW Equity,O'Reilly Automotive Inc,--,--,98.51,,,,,,,,,,,,,
ALL UN Equity,Allstate Corp/The,--,--,199.97,,,,,,,,,,,,,
EQR UN Equity,Equity Residential,--,--,62.73,,,,,,,,,,,,,
KDP UW Equity,Keurig Dr Pepper Inc,--,--,33.395,,,,,,,,,,,,,
HST UW Equity,Host Hotels & Resorts Inc,--,--,15.57,,,,,,,,,,,,,
INCY UW Equity,Incyte Corp,--,--,75.3,,,,,,,,,,,,,
SPG UN Equity,Simon Property Group Inc,--,--,160.84,,,,,,,,,,,,,
EMN UN Equity,Eastman Chemical Co,--,--,57.43,,,,,,,,,,,,,
